Name,Author,FullName,Description,Depends,StdLink
Bbt,Ivan N. Goryachev,BlackBox tools: Unicode module converter tools & Compiler helper tools.,"You can convert modules from code page to Unicode with the Unicode module converter tools. This tool is very useful for the migration from BlackBox 1.5 Russian version to BlackBox 1.7 CPC edition.

With a new subsystem you may have the following questions: ""Which modules must I compile?"" and ""Which other subsystems I need for using this new subsystem?"" Now you get the answer very easily. You can create compile list and import list with the compiler helper tools. Looking thru the import list you can checking your system of consistency and found missing or misspelling modules even the source is not available.

",,http://www.zinnamturm.eu/pac/Bbt.pac
Benchmark,Helmut Zinn,A Benchmark Suite to Measure Computer Performance.,"Benchmarks provide a method of comparing the performance of various computer systems. All my old benchmark programs doesn't run on a computer today. So I downloaded some sources from internet and changed them to my need accordently. You find here in this subsystem some well-known benchmark programs: Counter, Sieve, Dhrystone, Whetstone, Livermore Loops and Hennessy.

",,http://www.zinnamturm.eu/pac/Benchmark.pac
Bnf7,Carl Glassberg,(Bnf7)Ebnf.atg: Ebnf Pretty-Printer. A sample use of Coco.,"This example grammar is similar to the Ebnf3.atg file provided with BB Coco. The main difference between Ebnf3.atg and this grammar is the addition of semantics to create a translator and pretty-printer.

An unattributed ATG grammar supplied as input to Coco will create a syntax-analyzer, assuming no errors have occurred. The output of Coco will be a scanner, parser and a main driver that will need to be compiled by BlackBox.

Such a syntax analyzer only accepts or rejects the input that the ATG grammar itself defines. The main driver will output (to the StdLog) the message ""Parsed correctly"" if there are no syntax errors in the input the ATG grammar expects. Otherwise the number of detected errors is output to the StdLog.

The input for sample runs are an EBNF definition for EBNF itself and an EBNF definition for Oberon. Errors are marked in the input focus view. All the previously discussed syntax-checking actions still occur. In addition, a pretty-printed version of the input grammar is output to a separate window.

",,http://www.zinnamturm.eu/pac/Bnf7.pac
C2cp,Helmut Zinn,C to Component Pascal Translator.,"This software converts C source program to Component Pascal (Oberon-2). All identifier collected into one symbol table. The symbol table is used for name translation. The original translator was written a very long time ago in Turbo Pascal. It has no syntax analysis. The translator recognize patterns only. If it doesn't find a matching pattern the output is equal the input.

",,http://www.zinnamturm.eu/pac/C2cp.pac
Cam,Mathieu Westerweele,"Multiple Undo/Redo, light up / hot buttons, list readers and procedure navigator.","Subsystem Cam comprises of a few handy ""low-level"" modules, which I use extensively. Most of them where build before I discovered the CPC website. The modules consist of:



CamTools: A wrapper around the Sequencers of BlackBox, which makes it possible to implement multiple undo/redo actions. E.g.: undoing/redoing a set of actions in stead of one at a time.


CamLightupButtons: Picture buttons that light up when you move your mouse over the button


CamLists: The module CamLists defines the data types List and ListReader. Any storable object (extension of Stores.Store) can be added to a list. All manipulations to a list (adding and removing objects) which alter the contents of the list are implemented as operations. This means that all manipulation actions are undoable and redoable.


CamToolBars: Toolbars with ""hot"" buttons, that light up when the mouse moves over them.


CamProcScan: A simple program to quickly get an overview of all implemented procedures in a module and a tool to quickly jump to the one you want to go to. This module also contains a procedure to make all keywords bold and to make all comments blue and italic.



",,http://www.zinnamturm.eu/pac/Cam.pac
Casket,Robert D. Campbell,Writing mathematical expressions in BlackBox documents.,"Casket provides a flexible Bitmap type (e.g. Views as *.png) and various utilities (e.g. RTF Import/Export to Word) that use it:

CasketRtfConv provides RTF (Rich Text Format) import and export by file or cut-&-paste. It has more accurate paragraph formatting than HostTextConv, and significantly it supports Links, Tables, and Pictures as Bitmaps.

CasketLatex creates high quality typeset bitmaps of mathematical expressions described using plain Ascii. It provides the facilities of LaTeX inside BlackBox '.odc' documents. You can easily write odc documents containing sophisticated mathematics.

LaTeX is used by many major software systems and authors - for example all mathematics in Wikipedia is typeset with LaTeX.

CasketKeeper uses FreeImage to convieniently support writing arbitrary BlackBox Views to file in a variety of formats (*.bmp, *.gif, *.jpg, *.png, & *.tiff).

CasketBitmaps provides interfaces to other BlackBox Bitmap types and facilities (HostBitmaps, CpcBitmaps, FreeImage, Windows Bitmaps). It supports writing compressed BlackBox Bitmap Views (using Pac, or another Compressor), interfacing to FreeImage, and is designed to support other applications.

CasketReferences is not required by CasketLatex, but could compliment it by providing equation numbering in a large document. It may also have uses unconnected with CasketLatex.

",Ctls Lib Pac,http://www.zinnamturm.eu/pac/Casket.pac
ChillDocu,Robert D. Campbell,Chill 12 Documentation.,"The Chill group is a collection of subsystems and individual modules published by Robert Campbell. The current version control number of these is called Chill 12, and 'Chill' is sometimes used as a generic name for these subsystems. Chill 12 is compatible with BlackBox 1.7.x.

This ChillDocu is a set of 'overview' (e.g. 'Map's etc) documentation files that is recommended should you choose to install several, or all, of these subsystems. It provides convenient access to several subsystems and Tools from the Help Menu. It also gives guidance on installing all Chill subsystems, as there are some dependencies between them.

The following subsystems are member of the Chill group:


Algebra - Computational Algebra library.
Casket - Writing mathematical expressions in BlackBox documents.
CpcChill - Bitmaps, ControlTips, FormTidy, Markers, Search and Stylists.
Ctls - Buttons, Arrows, Sets, Sliders, RealField and UnitField.
Demo - Sample programs of using the Chill group.
Filter - Digital and other filter design and analysis.
Frame - An abstract hierarchical Specification framework.
Lib - Engineering & Scientific library.
Multi - Arbitrary ultra high precision arithmetic & Tools.
Nav - Navigation & Coordinate transform library modules and tools.
OglChill - An extension to the 'Base' or 'Original' Ogl subsystem adding higher level functionality.
Wands - A collection of general purpose and eclectic tools (Wand: tool used by a magician).


A full Chill installation makes use of the following non-Chill modules & subsystems available from CPC:


CpcBookmarks - Bookmarks for text documents.
CpcCompressors - Data compression utility interface.
CpcMenus - Switching Menus.
CpcSpell - A minimalistic Spelling checker.
Escher - Escher constraint-drawing editor.
FreeImage - Loading, displaying and saving popular graphic image formats.
Ogl - An interface to OpenGL.
Pac - Data compression utility (Burrows / Wheeler or LZ77 + adaptative Huffman coding).
StdBackgrounder - Set Background Colour in Views (Modified from the original Oms version).
Xmlcore - Using Document Object Model and Extensible Markup Language.


Grateful thanks to the authors of the above for publishing their work for the benefit of other users.

The ChillDocu save set installs its files into //BlackBox/Docu/ChillDocu/. Open there the file Chill-Map.odc to getting started.

StdCoded File <=>",,http://www.zinnamturm.eu/pac/ChillDocu.pac
Co_,Dmitry V. Dagaev,"Coroutines, Tasks and Schedulers.","Co_Routines module is suitable for suspending and resuming execution on certain locations. A list of tasks can be built upon: cooperative multitasking, state machines, infinite lists, pipes, etc. Task represent the simplest form for periodic execution. Scheduler is for runtime control of both.

",,http://www.zinnamturm.eu/pac/Co_.pac
Coco,Helmut Zinn,A BlackBox port of Hanspeter Mössenböck's Coco/R Compiler Compiler.,"Coco/R is a language for generating compilers from attributed EBNF grammars. You find more information about this topic at Prof. Pat Terry's Coco/R page. The original port of Coco is from the Stewart Greenhill's website BlackBox Resources. I adapt Coco to the BlackBox subsystem and use BlackBox IO directly.

You find examples of using Coco here:


Bnf7 - (Bnf7)Ebnf.atg: Ebnf Pretty-Printer. A sample use of Coco.
Prettify - 3 Coco pretty-printer (PP) grammars for Component Pascal.
Webstat - Analysing Web Log Files.


",,http://www.zinnamturm.eu/pac/Coco.pac
CommTCPAsync,Stewart Greenhill,Non-blocking TCP Streams Module.,"This module implements true non-blocking TCP streams using the CommStreams framework. The reference implementation (CommTCP) is only non-blocking AFTER a connection has been established, and can block the framework for a significant time during the establishment of a TCP connection. In some situations (eg. web proxy servers) this is unacceptable.

The solution to this problem is to use the asynchronous functions provided by Winsock. Module CommTCPAsync allows TCP host-name resolution and connection establishment to be performed as background tasks. This is done in a way that is compatible with the CommStreams framework.

",,http://www.zinnamturm.eu/pac/CommTCPAsync.pac
Cow,Dejan Milicic,Cow is a subsystem aimed at compiler writers.,"Cow is subsystem aimed at compiler writers. When finished, it will contain generators of lexical and syntax analysers. As completed, various modules will be added to this subsystem.

This is alpha release of Cow, framework intended for compiler writers. At the moment, only scanner generator exists, but as time passes more elements will be added. Whole project is intended to be my graduation thesis, and I would be very grateful to anyone that could point me to existing errors, omits and possible improvements.

",,http://www.zinnamturm.eu/pac/Cow.pac
CpcAllCaps,Fyodor Tkachov,Capitalisation of Keywords.,"The two procedures solve the problem of typing all-capitals keywords. The idea is that one types a keyword in small characters, then presses a key, and the keyword is converted to capitals.

Additionally, there is a 'Capitalize and Expand' function included, that knows about the common compound CP statements. It does the same sort of thing regarding keyboard macros.

",,http://www.zinnamturm.eu/pac/CpcAllCaps.pac
CpcAsciiCoder,Helmut Zinn,Decode Eth Oberon V4 Cod files.,"The module CpcAsciiCoder can decodes and expand ETH Oberon V4 Cod files. I recommend to format the result with the CpcBeautifier.

",,http://www.zinnamturm.eu/pac/CpcAsciiCoder.pac
CpcBeautifier,Gérard Meunier and Helmut Zinn,Component Pascal Source Code Beautifier.,"The Beautifier is a program that reformats Component Pascal (Oberon-2) Source-Code.

It features:


Automatic indentation (insert/delete tabs, change blanks to tabs)
Remove superfluous semicolons
Insert missing spaces before and after operators
Exported Names puts into bold font
EXIT, HALT and RETURN statement puts into bold font
Coloring Comments
Reorder the IMPORT list into alphabetical order


The Beautifier follows the style guidelines of the BlackBox Programming Conventions.

",,http://www.zinnamturm.eu/pac/CpcBeautifier.pac
CpcBitmaps,Robert D. Campbell,Bitmaps.,"This module allows an arbitrary View to be converted to a Bitmap.

These Views are intended to be embedded in BlackBox Documents. The particular advantage of these Views is that when they are saved to disc they are compressed (using CpcCompressors), so typically take much less disc space than uncompressed Bitmaps.

",,http://www.zinnamturm.eu/pac/CpcBitmaps.pac
CpcBookmarks,Alexander Iljin,Bookmarks for text documents.,"When you edit a source code file it is often necessary to jump back and forth between two or three different areas making changes simultaneously. A valid solution would be to open the appropriate number of windows with the same document and to switch between them. BlackBox supports this with the command ""Window - New Window (F2)"". For example, you may open one window with TYPE declaration in view to add properties to an object, and the second window with a method implementation. Now you may add new properties while writing code that uses them. Unfortunately, in BlackBox all these windows will share the same text cursor position, so if you start typing right after you switch to another window, you will immediately be brought back to the place where you were typing in the previous view, effectively losing all the advantages of having two windows. To place the text cursor at a new position you have to use the mouse, and switch from keyboard to mouse and back again which slows you down and distracts you.

Another problem with the approach of using multiple windows, is that you end up having a) many windows open to same file, b) very small amount of text in each window without its context, and c) very limited navigation capabilities using the ""Window"" menu, so you cannot quickly find the window you need.

That is why you may find bookmarks useful. A bookmark is a small visible object (of type CpcBookmarks.View) which can be pasted into any text document. It looks like a little grey square with a digit in it. Bookmarks are numbered from 1 to 9, so you may have up to nine bookmarks per document. After you have placed a bookmark, you may quickly jump to that exact cursor position from anywhere in the document (the document's window must be active). Bookmarks are saved within the document, so the state is preserved between editing sessions.

Like any other View object bookmarks are ignored by the compiler, so you don't have to put them in comments. They may be anywhere in your source code. Right where you need them.

The disadvantage of bookmarks is that you have to remember the number location correspondence. You'll have to think up your own scheme for using those numbers. You won't be using more than three most of the time, so it won't be very hard to simply poke through numbers from 1 to 3 to find the place you need.

",,http://www.zinnamturm.eu/pac/CpcBookmarks.pac
CpcChill,Robert D. Campbell,"Bitmaps, ControlTips, FormTidy, Markers, Search and Stylists.","The Cpc 'Chill' modules provide a few utilites that may be of general use:


Bitmaps - Allows an arbitrary BlackBox View to be converted, or copied, to a Bitmap
ControlTips - Implements pop-up Tool-Tips when the mouse pointer goes over a Control
FormTidy - Additional commands to size and position Controls (or any Views) in a Form
Markers - A Text Wrapper that automatically makes changes clearly visible
Search - A simple to use Text Search & Replace tool with many wildcard options
Stylists - An object used to organise Rulers (TextRulers.Ruler) in a Document.


The modules CpcMarkers & CpcStylists require (parts of) the subsystem Lib .

StdCoded File <=>",,http://www.zinnamturm.eu/pac/CpcChill.pac
CpcCompressors,Gérard Meunier and Robert D. Campbell,Data compression utility interface.,"Compressor Readers & Writers are objects that are similar to Stores Readers and Writers, but they also losslessly compress the data on disc.

To make use of CpcCompressors some must be made available. Currently two are available in Pac, but in principle, others could be made available from other sources.

",,http://www.zinnamturm.eu/pac/CpcCompressors.pac
CpcControlTips,Robert D. Campbell,Pop-up Tips when the mouse pointer goes over a Control.,"The Module ControlsTips is a documentation aid that allows for small text boxes (Tool-Tips) to 'pop-up' when the mouse pointer goes over a Control.

This functionality is implemented by simply 'dropping' a 'Wrapper' on each Control. The text, colours, and user proficiency level can be individually set for each Control.

The pop-up timing parameters can be set globally, as can tip filters. For example all tips can be enabled, or disabled, or only tips aimed at 'Experts' can be enabled.

",,http://www.zinnamturm.eu/pac/CpcControlTips.pac
CpcETHConv,Koen Desaeger,A converter for loading Oberon System3 and Linz V4 file formats.,"The module CpcETHConv is an improved version of StdETHConv

What's new in this version:


V4 Table Elem
Display empty folds correctly (StdEthConv does not)
Readonly Stamp Elem, displays date as read from the imported file.
'Open' command that remembers it's location, and is independent from the Blackbox current location
Toolbar support


",,http://www.zinnamturm.eu/pac/CpcETHConv.pac
CpcEverywhere,Gérard Meunier,Documentation Tool.,"CpcEverywhere is able to search regular expressions in the files of Blackbox, by using the search engine of CpcRegul. It's a powerful tool for complex documentation search.

",Babel Util,http://www.zinnamturm.eu/pac/CpcEverywhere.pac
CpcFileBrowser,Marco Ciot,"File Browser with subsystem, folder and document windows.","The CpcFileBrowser is a subsystem file manager that provides a user interface to open documents. It is very useful for speeding up navigation between subsystems, directories and files.

",,http://www.zinnamturm.eu/pac/CpcFileBrowser.pac
CpcFloat,Gérard Meunier,Diagnosing floating point calculations precision.,"Do you have numeric problems with real numbers? This is not a specific problem of Component Pascal. All programming languages have the same kind of problem. Here is a little module to determine the precision of floating point calculations. The result depends on the floating point implementation on your machine and not of the programming language definition.

Testing REAL numbers for equality should be done with the statement:
   IF (ABS (real1 - real2) < epsilon) THEN ... END;

The problem above is what value of epsilon should I use. After running this test you know which epsilon you can use on your machine. Remark: Math.Eps() gives the same value, but with less information.

",,http://www.zinnamturm.eu/pac/CpcFloat.pac
CpcFormTidy,Robert D. Campbell,Control layout tools for use in constructing Forms.,"FormTidy provides an additional set of commands that complement those provided in the Layout menu. They are used to help arrange the size and positioning of Controls in a graphical user interface Form. These commands are virtually essential for Forms with more than a few Controls.

",,http://www.zinnamturm.eu/pac/CpcFormTidy.pac
CpcIndex,Gérard Meunier,Cross reference builder and pretty printer.,"CpcIndex parses a text according to a grammar, with the help of Babel. It uses this analyze to pretty print the text and extract an index. The result is ready to print or can be used on screen for quick searching. Grammars for Oberon2, Modula2, Component Pascal and Babel are included.

",Babel,http://www.zinnamturm.eu/pac/CpcIndex.pac
CpcLangMapper,Werner Bossert,Language Mapper from / to Excel tables.,"Very often programmers and language translators are not the same person. This is easier for doing the translation outside the BlackBox in an Excel table. CpcLangMapper allows you to transform rows of alias/language pairs from Excel tables into a BlackBox (Subfolder)Strings.odc document or vice-versa. CpcLangMapper enhances the possibilities of CpcLanguage by introducing transformation of languages between MS Excel and BlackBox.

",Ctls Dos,http://www.zinnamturm.eu/pac/CpcLangMapper.pac
CpcLanguage,Gérard Meunier,Language for Component Pascal.,"BlackBox has many facilities. One of them is changing the language during the BlackBox session. Here is the module for accomplish this task. You can switch to any language which you like. But before you can use your favourite language you have to translate all the resource files. It would be nice to share your translations here.

",,http://www.zinnamturm.eu/pac/CpcLanguageRU.pac
CpcMenus,Helmut Zinn,Switching Menus.,"Certainly you have installed some or all modules from the Component Pascal Collection. Now you get a very long menu bar at the top of the BlackBox's window. I'm sure that you needn't the complete menu all the time. Would you like to switch the menu item off and on again? Here is a program which can do it.

",,http://www.zinnamturm.eu/pac/CpcMenus.pac
CpcPreprocessor,Stan Warford and Helmut Zinn,Named Integers in Component Pascal.,"Here you found an implementation of named integers for Component Pascal without changing the original compiler. The benefit of named integers is self-documentation. Named integers are eliminating the need to explicitly assign constants to symbols. It makes the declarations simpler and more clear. It also reduces the likelihood of the programmer accidentally assigning the same constant to two symbols.

In general

  TYPE Color* = (red, blue, green);

is defined to be _exactly_ equivalent to

  TYPE Color* = INTEGER; CONST red* = 0; blue* = 1; green* = 2;

Named integers have none of the implementation problems of enumerated types. They are simply a syntactic sugar that provide an immense benefit of self-documentation for a very small price. They do not introduce a new type. Named integers are integers.

",,http://www.zinnamturm.eu/pac/CpcPreprocessor.pac
CpcRegul,Gérard Meunier,Regular Lexical Analyzer.,"CpcRegul is a lexical analyzer that can find and/or replace regular expressions in a text. It provides an application programming interface as well as a user interface. It is an advanced example of the Babel metacompiler.

Here, Babel is used three times at each request: firstly to analyze the regular expression, check possible syntax errors and generate a Babel definition document for this expression; secondly to compile the previous definition document and produce a compiler (in fact, one or two compilers, according to the expression); thirdly to parse the user text with this compiler and find occurrences of the regular expression. All this process is accomplished in a flash behind the screen.

",Babel,http://www.zinnamturm.eu/pac/CpcRegul.pac
CpcSearch,Robert D. Campbell,Search & Replace with wildcards and text attributes.,"Module (Cpc)Search is a simple to use Text Search & Replace tool. It augments the supplied Find/Replace tool in two main ways: it keeps a record of the last few Search and Replace strings used, and it supports a rich set of wildcard search & replace options.

With this module you can find red 'cats' and replace them with italic 'dogs'.

",CpcControlTips,http://www.zinnamturm.eu/pac/CpcSearch.pac
CpcSpell,Robert D. Campbell,A minimalistic Spelling checker.,"Spell checks the spelling of Texts.

Spell requires that Microsoft Excel is installed.

Spell is a minor modification of a module originally written by Oms (ToolSpell). It is published here by kind permission of Oms.

As well as actually checking spelling, Spell has the following set of features: {} .

It is already useful (I do use it), but I also publish it in the hope that someone will find the time to add some more features to it. I would like it to display a list of suggested corrections (which requires some knowledge of Excel and OLE automation, which I do not have), and to offer to make a selected correction (which requires some knowledge of TextModels and TextControllers; this I can possibly manage).

",,http://www.zinnamturm.eu/pac/CpcSpell.pac
CpcSplitter,Koen Desaeger,Split a window and scroll the two panes independently.,"The module CpcSplitter splits a window horizontally, and provides independent scrolling of the two panes. Programmers may find this useful: you can view the declaration section of a module in one pane while editing a procedure of that same module in the other pane.

",,http://www.zinnamturm.eu/pac/CpcSplitter.pac
CpcStats,Gérard Meunier & Helmut Zinn,Statistic of accessing the CPC website.,"Would you like to know how many users visit this website? How many downloads they have done? Which subsystems belong to the top 10? Here you are. Here you find the access statistic of August 2003.

",Babel Pac,http://www.zinnamturm.eu/pac/CpcStats.pac
CpcStylists,Robert D. Campbell,A Stylist is an object used to organise Rulers (TextRulers.Ruler) in a Document.,"A Stylist is essentially a list of Rulers Styles and associated StdProps. A Stylist object offers three main facilities:



It allows several Rulers to belong to a Style Set. Rulers are said to belong to the same Set if they are the SAME (which means that they have the same Style, and, optionally, equal StdProps). When Rulers share their Style not only do they have their tabs etc in the same place, but moving one Rulers tabs immediately moves the tabs of all the other Rulers in the Set.


It allows each Set to be 'named' . It can be helpful to give each Set a meaningful name, such as 'Tabs @ 2 & 5 cm', or 'Main heading Ruler'.


It can manage a Text's StdProps. These are associated with each Ruler and with each Style in the Stylist. They can then be automatically applied to the text immediately after each Ruler in a flexible variety of ways.



",Ctls,http://www.zinnamturm.eu/pac/CpcStylists.pac
CpcTabs,Ivan Denisov,Tiled interface with tabs for open windows.,"Organize BlackBox aux windows in one or several flexible areas. All aux windows are presented in the tabs toolbar allowing to switch between them and close any window by click on a cross button.

",,http://www.zinnamturm.eu/pac/CpcTabs.pac
CpcTray,Kai Kietzke,Icon in System Tray.,"I have worked out a little module that provides an icon in the system tray associated with any blackbox menu. The system tray is on the right side of the windows task bar.

You may also visit my website http://www.kietzke.net/.

",,http://www.zinnamturm.eu/pac/CpcTray.pac
CpcWhere,Gérard Meunier,"Where, Indexer of Source, Documentation & Symbol files.","CpcWhere creates on disk a database from which one can find very quickly any identifier defined or used in any source , documentation or symbol file, from its name or any part of its name. This version has a fast update process available and reads Unicode characters when scanning files.

",Ctls Util Babel,http://www.zinnamturm.eu/pac/CpcWhere.pac
